id;title;contents
2459;Italy has stockpile of €1,200 bn of uncollected taxes;Most of credits cannot be recovered says Inland Revenue head
2460;Rise in civilian victims of war unacceptable says Mattarella;President's message for Italian Day for Civilian Victims of Wars
2461;Inflation up to 0.8% in January says Istat;But core inflation has slowed adds statistics agency
2462;Relations good with Meloni govt says Italian Church;Dialogue on migrants, EU 'largely absent' says Zuppi
2463;Molotov cocktails thrown at US consulate in Florence;No damage caused, Carabinieri police investigating
2464;Italy may send aircraft to the Red Sea says Crosetto;Italian ship to take part in EU Aspides mission for 12 months
2465;Meloni, Orban have more talks before EU summit;Hungarian leader says he will act to ensure Salis gets 'fair treatment'
2466;Italian Pavilion, Italy Japan Foundation meet for Expo Osaka;Memorandum of Understanding to strengthen Italian presence
2563;Turin showcases Macchiaiolis' art revolution;90 works by 30 artists including caricatures
2564;Govt set to protect teachers;After spate of parent attacks on school officials across Italy
2565;Exorcist probed over 'stolen artworks';Turin-area parish priest searched for 60 disappeared objects
2566;Sangiuliano 'a man without dignity' says Sgarbi;Haven't spoken since October 23, sent anonymous letters
2567;Sgarbi's incompatibility probe set to conclude;Antitrust expected to issue findings early next week
2568;Sgarbi says received letter from Antitrust Authority;2 anonymous letters accepted, No to Retequattro show
2569;Sgarbi quits;Resigns with immediate effect amid 'stolen painting' probe
2570;Roberto Salis thanks La Russa, 'full agreement';We ask everyone to tone down political rows
2571;Prints of three people found on Pozzolo's gun;MP denies having fired shot that injured man at New Year's party
2572;Salis: La Russa says defending antifascist over rights;But chains exist in many countries including Italy says Speaker
2573;6 Nations: Italy's Capuozzo to miss England clash;Danger man out due to stomach problem, Pani comes into team
2574;I'd rather take stake in Ferrari than Stellantis-Giorgetti;Minister ironic on State 'entry' into Italo-French carmaker
2575;'Trick' behind most aggressive brain tumour found;Cells mimic healthy neurons, seen by protein map and AI
2576;UPB slashes 2024 growth forecast from 1.1% to 0.8%;Trade boosting GDP but many downside risks says budget office
2577;Meloni must call Stellantis execs, unions - Landini;'CGIL's been demanding State stake in carmaker for long time'
2578;European Parliament to debate Salis case on Monday;Woman chained at hands and feet in court hearing in Budapest
2579;Tractor protests coming to Rome next week says leader;Won't be a blockade but will cause inconvenience says Calvani
2580;Giorgetti 'almost regrets' Italy getting 2026 Olympics;Minister stresses urgency of situation with two years to go
2581;Posthumous graduation ceremony held for Giulia Cecchettin;'You created a tear in our consciences' - murdered woman's dad
2582;Soccer: Alcaraz does medical for move to Juve;21-yr-old Argentine midfielder arrives on loan from Southampton
2583;Food waste in Italy up 8% says report;Average Italian throws away 81 grams of food a day
2584;F1: Hamilton 'excited' at Ferrari move;Seven-time world champion to join Italian team in 2025
2585;Govt to give tax relief to smaller farmers - Fidanza;Irpef intervention coming soon says FdI MEP
2586;Search for survivors after migrant boat sinks off Lampedusa;Coast Guard saves 49 people
2587;Mafia boss Raduano captured after jail break last year;40-year-old escaped with knotted bed sheets
2588;Four arrested over use of drones to fly drugs to jails;Scheme also used to get mobile phones to inmates
2708;Vittorio Emanuele of Savoy has died;Son of Italy's last king, Umberto II, passed away in Geneva
2709;Soccer: Weissman joins Salernitana after Granada Gaza row;Israel forward spurred Palestinian incitement to violence suit
