Matthew 1:1	The book of the lineage of Jesus Christ, the son of David, the son of Abraham.
Matthew 13:19	With anyone who hears the word of the kingdom and does not understand it, evil comes and carries away what was sown in his heart. This is he who received the seed by the side of the road.
Matthew 13:20	Then whoever has received the seed upon a rocky place, this is one who hears the word and promptly accepts it with joy.
Matthew 13:21	But he has no root in himself, so it is only for a time; then, when tribulation and persecution occur because of the word, he promptly stumbles.
Matthew 13:22	And whoever has received the seed among thorns, this is he who hears the word, but the cares of this age and the falseness of riches suffocate the word, and he is effectively without fruit.
Matthew 13:23	Yet truly, whoever has received the seed into good soil, this is he who hears the word, and understands it, and so he bears fruit, and he produces: some a hundred fold, and another sixty fold, and another thirty fold.”
Matthew 13:24	He proposed another parable to them, saying: “The kingdom of heaven is like a man who sowed good seed in his field.
Matthew 13:25	But while the men were sleeping, his enemy came and sowed weeds amid the wheat, and then went away.
Matthew 13:26	And when the plants had grown, and had produced fruit, then the weeds also appeared.
Matthew 13:27	So the servants of the Father of the family, approaching, said to him: ‘Lord, did you not sow good seed in your field? Then how is it that it has weeds?’
Matthew 13:28	And he said to them, ‘A man who is an enemy has done this.’ So the servants said to him, ‘Is it your will that we should go and gather them up?’
Matthew 13:29	And he said: ‘No, lest perhaps in gathering the weeds, you might also root out the wheat together with it.
Matthew 13:30	Permit both to grow until the harvest, and at the time of the harvest, I will say to the reapers: Gather first the weeds, and bind them into bundles to burn, but the wheat gather into my storehouse.’ ”
Matthew 13:31	He proposed another parable to them, saying: “The kingdom of heaven is like a grain of mustard seed, which a man took and sowed in his field.
Matthew 13:32	It is, indeed, the least of all seeds, but when it has grown, it is greater than all the plants, and it becomes a tree, so much so that the birds of the air come and dwell in its branches.”
Matthew 13:33	He spoke another parable to them: “The kingdom of heaven is like leaven, which a woman took and hid in three measures of fine wheat flour, until it was entirely leavened.”
Matthew 13:34	All these things Jesus spoke in parables to the crowds. And he did not speak to them apart from parables,
Matthew 13:35	in order to fulfill what was spoken through the prophet, saying: “I will open my mouth in parables. I will proclaim what has been hidden since the foundation of the world.”
Matthew 13:36	Then, dismissing the crowds, he went into the house. And his disciples drew near to him, saying, “Explain to us the parable of the weeds in the field.”
Matthew 13:37	Responding, he said to them: “He who sows the good seed is the Son of man.
Matthew 13:38	Now the field is the world. And the good seeds are the sons of the kingdom. But the weeds are the sons of wickedness.
Matthew 13:39	So the enemy who sowed them is the devil. And truly, the harvest is the consummation of the age; while the reapers are the Angels.
Matthew 13:40	Therefore, just as weeds are gathered up and burned with fire, so shall it be at the consummation of the age.
Matthew 13:41	The Son of man shall send out his Angels, and they shall gather from his kingdom all who lead astray and those who work iniquity.
Matthew 13:42	And he shall cast them into the furnace of fire, where there shall be weeping and gnashing of teeth.
Matthew 13:43	Then the just ones shall shine like the sun, in the kingdom of their Father. Whoever has ears to hear, let him hear.
Matthew 13:44	The kingdom of heaven is like a treasure hidden in a field. When a man finds it, he hides it, and, because of his joy, he goes and sells everything that he has, and he buys that field.
Matthew 13:45	Again, the kingdom of heaven is like a merchant seeking good pearls.
Matthew 13:46	Having found one pearl of great value, he went away and sold all that he had, and he bought it.
Matthew 13:47	Again, the kingdom of heaven is like a net cast into the sea, which gathers together all kinds of fish.
Matthew 13:48	When it has been filled, drawing it out and sitting beside the shore, they selected the good into vessels, but the bad they threw away.
Matthew 13:49	So shall it be at the consummation of the age. The Angels shall go forth and separate the bad from the midst of the just.
Matthew 13:50	And they shall cast them into the furnace of fire, where there will be weeping and gnashing of teeth.
Matthew 13:51	Have you understood all these things?” They say to him, “Yes.”
Matthew 13:52	He said to them, “Therefore, every scribe well-taught about the kingdom of heaven, is like a man, the father of a family, who offers from his storehouse both the new and the old.”
Matthew 13:53	And it happened that, when Jesus had completed these parables, he went away from there.
Matthew 13:54	And arriving in his own country, he taught them in their synagogues, so much so that they wondered and said: “How can such wisdom and power be with this one?
Matthew 13:55	Is this not the son of a workman? Is not his mother called Mary, and his brothers, James, and Joseph, and Simon, and Jude?
Matthew 13:56	And his sisters, are they not all with us? Therefore, from where has this one obtained all these things?”
Matthew 13:57	And they took offense at him. But Jesus said to them, “A prophet is not without honor, except in his own country and in his own house.”
Matthew 13:58	And he did not work many miracles there, because of their unbelief.
Matthew 14:1	In that time, Herod the Tetrarch heard the news about Jesus.
Matthew 14:2	And he said to his servants: “This is John the Baptist. He has risen from the dead, and that is why miracles are at work in him.”
Matthew 14:3	For Herod had apprehended John, and bound him, and put him in prison, because of Herodias, the wife of his brother.
Matthew 14:4	For John was telling him, “It is not lawful for you to have her.”
Matthew 14:5	And though he wanted to kill him, he feared the people, because they held him to be a prophet.
Matthew 14:6	Then, on Herod’s birthday, the daughter of Herodias danced in their midst, and it pleased Herod.
Matthew 14:7	And so he promised with an oath to give her whatever she would ask of him.
Matthew 14:8	But, having been advised by her mother, she said, “Give me here, on a platter, the head of John the Baptist.”
Matthew 14:9	And the king was greatly saddened. But because of his oath, and because of those who sat at table with him, he ordered it to be given.
Matthew 14:10	And he sent and beheaded John in prison.
Matthew 14:11	And his head was brought on a platter, and it was given to the girl, and she brought it to her mother.
Matthew 14:12	And his disciples approached and took the body, and they buried it. And arriving, they reported it to Jesus.
Matthew 14:13	When Jesus had heard it, he withdrew from there by boat, to a deserted place by himself. And when the crowds had heard of it, they followed him on foot from the cities.
Matthew 14:14	And going out, he saw a great multitude, and he took pity on them, and he cured their sick.
Matthew 14:15	And when evening had arrived, his disciples approached him, saying: “This is a deserted place, and the hour has now passed. Dismiss the crowds, so that, by going into the towns, they may buy food for themselves.”
Matthew 14:16	But Jesus said to them: “They have no need to go. Give them something to eat yourselves.”
Matthew 14:17	They answered him, “We have nothing here, except five loaves and two fish.”
Matthew 14:18	He said to them, “Bring them here to me.”
Matthew 14:19	And when he had ordered the multitude to sit down upon the grass, he took the five loaves and the two fish, and gazing up to heaven, he blessed and broke and gave the bread to the disciples, and then the disciples to the multitudes.
Matthew 14:20	And they all ate and were satisfied. And they took up the remnants: twelve baskets full of fragments.
Matthew 14:21	Now the number of those who ate was five thousand men, besides women and children.
Matthew 14:22	And Jesus promptly compelled his disciples to climb into the boat, and to precede him in crossing the sea, while he dismissed the crowds.
Matthew 14:23	And having dismissed the multitude, he ascended alone onto a mountain to pray. And when evening arrived, he was alone there.
Matthew 14:24	But in the midst of the sea, the boat was being tossed about by the waves. For the wind was against them.
Matthew 14:25	Then, in the fourth watch of the night, he came to them, walking upon the sea.
Matthew 14:26	And seeing him walking upon the sea, they were disturbed, saying: “It must be an apparition.” And they cried out, because of fear.
Matthew 14:27	And immediately, Jesus spoke to them, saying: “Have faith. It is I. Do not be afraid.”
Matthew 14:28	Then Peter responded by saying, “Lord, if it is you, order me come to you over the waters.”
Matthew 14:29	And he said, “Come.” And Peter, descending from the boat, walked over the water, so as to go to Jesus.
Matthew 14:30	Yet truly, seeing that the wind was strong, he was afraid. And as he began to sink, he cried out, saying: “Lord, save me.”
Matthew 14:31	And immediately Jesus extended his hand and took hold of him. And he said to him, “O little in faith, why did you doubt?”
Matthew 14:32	And when they had ascended into the boat, the wind ceased.
Matthew 14:33	Then those who were in the boat drew near and adored him, saying: “Truly, you are the Son of God.”
Matthew 14:34	And having crossed the sea, they arrived in the land of Genesaret.
Matthew 14:35	And when the men of that place had recognized him, they sent into all that region, and they brought to him all who had maladies.
Matthew 14:36	And they petitioned him, so that they might touch even the hem of his garment. And as many as touched it were made whole.
Matthew 15:1	Then the scribes and the Pharisees came to him from Jerusalem, saying:
Matthew 15:2	“Why do your disciples transgress the tradition of the elders? For they do not wash their hands when they eat bread.”
Matthew 15:3	But responding, he said to them: “And why do you transgress the commandment of God for the sake of your tradition? For God said:
Matthew 15:4	‘Honor your father and mother,’ and, ‘Whoever will have cursed father or mother shall die a death.’
Matthew 15:5	But you say: ‘If anyone will have said to father or mother, “It is dedicated, so that whatever is from me will benefit you,”
Matthew 15:6	then he shall not honor his father or his mother.’ So have you nullified the commandment of God, for the sake of your tradition.
Matthew 15:7	Hypocrites! How well did Isaiah prophesy about you, saying:
Matthew 15:8	‘This people honors me with their lips, but their heart is far from me.
Matthew 15:9	For in vain do they worship me, teaching the doctrines and commandments of men.’ ”
Matthew 15:10	And having called the multitudes to him, he said to them: “Listen and understand.
Matthew 15:11	A man is not defiled by what enters into the mouth, but by what proceeds from the mouth. This is what defiles a man.”
Matthew 15:12	Then his disciples drew near and said to him, “Do you know that the Pharisees, upon hearing this word, were offended?”
Matthew 15:13	But in response he said: “Every plant which has not been planted by my heavenly Father shall be uprooted.
Matthew 15:14	Leave them alone. They are blind, and they lead the blind. But if the blind are in charge of the blind, both will fall into the pit.”
Matthew 15:15	And responding, Peter said to him, “Explain this parable to us.”
Matthew 15:16	But he said: “Are you, even now, without understanding?
Matthew 15:17	Do you not understand that everything that enters into the mouth goes into the gut, and is cast into the sewer?
Matthew 15:18	But what proceeds from the mouth, goes forth from the heart, and those are the things that defile a man.
Matthew 15:19	For from the heart go out evil thoughts, murders, adulteries, fornications, thefts, false testimonies, blasphemies.
Matthew 15:20	These are the things that defile a man. But to eat without washing hands does not defile a man.”
Matthew 15:21	And departing from there, Jesus withdrew into the areas of Tyre and Sidon.
Matthew 15:22	And behold, a woman of Canaan, going out from those parts, cried out, saying to him: “Take pity on me, Lord, Son of David. My daughter is badly afflicted by a demon.”
Matthew 15:23	He did not say a word to her. And his disciples, drawing near, petitioned him, saying: “Dismiss her, for she is crying out after us.”
Matthew 15:24	And responding, he said, “I was not sent except to the sheep who have fallen away from the house of Israel.”
Matthew 15:25	But she approached and adored him, saying, “Lord, help me.”
Matthew 15:26	And responding, he said, “It is not good to take the bread of the children and cast it to the dogs.”
Matthew 15:27	But she said, “Yes, Lord, but the young dogs also eat from the crumbs that fall from the table of their masters.”
Matthew 15:28	Then Jesus, responding, said to her: “O woman, great is your faith. Let it be done for you just as you wish.” And her daughter was healed from that very hour.
Matthew 15:29	And when Jesus had passed from there, he arrived beside the sea of Galilee. And ascending onto a mountain, he sat down there.
Matthew 15:30	And great multitudes came to him, having with them the mute, the blind, the lame, the disabled, and many others. And they cast them down at his feet, and he cured them,
Matthew 15:31	so much so that the crowds wondered, seeing the mute speaking, the lame walking, the blind seeing. And they magnified the God of Israel.
Matthew 15:32	And Jesus, calling together his disciples, said: “I have compassion on the crowds, because they have persevered with me now for three days, and they do not have anything to eat. And I am not willing to dismiss them, fasting, lest they faint along the way.”
Matthew 15:33	And the disciples said to him: “From where, then, in the desert, would we obtain enough bread to satisfy so a great multitude?”
Matthew 15:34	And Jesus said to them, “How many loaves of bread do you have?” But they said, “Seven, and a few little fish.”
Matthew 15:35	And he instructed the crowds to recline upon the ground.
Matthew 15:36	And taking the seven loaves and the fish, and giving thanks, he broke and gave to his disciples, and the disciples gave to the people.
Matthew 15:37	And they all ate and were satisfied. And, from what was left over of the fragments, they took up seven full baskets.
Matthew 15:38	But those who ate were four thousand men, plus children and women.
Matthew 15:39	And having dismissed the crowd, he climbed into a boat. And he went into the coastal region of Magadan.
Matthew 16:1	And Pharisees and Sadducees approached him to test him, and they asked him to show them a sign from heaven.
Matthew 16:2	But he responded by saying to them: “When evening arrives, you say, ‘It will be calm, for the sky is red,’
Matthew 16:3	and in the morning, ‘Today there will be a storm, for the sky is red and gloomy.’ So then, you know how to judge the appearance of the sky, but you are unable to know the signs of the times?
Matthew 16:4	An evil and adulterous generation seeks a sign. And a sign shall not be given to it, except the sign of the prophet Jonah.” And leaving them behind, he went away.
Matthew 16:5	And when his disciples went across the sea, they forgot to bring bread.
Matthew 16:6	And he said to them, “Consider and beware of the leaven of the Pharisees and the Sadducees.”
Matthew 16:7	But they were thinking within themselves, saying, “It is because we have not brought bread.”
Matthew 16:8	Then Jesus, knowing this, said: “Why do you consider within yourselves, O little in faith, that it is because you have no bread?
Matthew 16:9	Do you not yet understand, nor remember, the five loaves among the five thousand men, and how many containers you took up?
Matthew 16:10	Or the seven loaves among the four thousand men, and how many baskets you took up?
Matthew 16:11	Why do you not understand that it was not because of bread that I said to you: Beware of the leaven of the Pharisees and the Sadducees?”
Matthew 16:12	Then they understood that he was not saying that they should beware of the leaven of bread, but of the doctrine of the Pharisees and the Sadducees.
Matthew 16:13	Then Jesus went into parts of Caesarea Philippi. And he questioned his disciples, saying, “Who do men say that the Son of man is?”
Matthew 16:14	And they said, “Some say John the Baptist, and others say Elijah, still others say Jeremiah or one of the prophets.”
Matthew 16:15	Jesus said to them, “But who do you say that I am?”
Matthew 16:16	Simon Peter responded by saying, “You are the Christ, the Son of the living God.”
Matthew 16:17	And in response, Jesus said to him: “Blessed are you, Simon son of Jonah. For flesh and blood has not revealed this to you, but my Father, who is in heaven.
Matthew 16:18	And I say to you, that you are Peter, and upon this rock I will build my Church, and the gates of Hell shall not prevail against it.
Matthew 16:19	And I will give you the keys of the kingdom of heaven. And whatever you shall bind on earth shall be bound, even in heaven. And whatever you shall release on earth shall be released, even in heaven.”
Matthew 16:20	Then he instructed his disciples that they should tell no one that he is Jesus the Christ.
Matthew 16:21	From that time, Jesus began to reveal to his disciples that it was necessary for him to go to Jerusalem, and to suffer much from the elders and the scribes and the leaders of the priests, and to be killed, and to rise again on the third day.
Matthew 16:22	And Peter, taking him aside, began to rebuke him, saying, “Lord, may it be far from you; this shall not happen to you.”
Matthew 16:23	And turning away, Jesus said to Peter: “Get behind me, Satan; you are an obstacle to me. For you are not behaving according to what is of God, but according to what is of men.”
Matthew 16:24	Then Jesus said to his disciples: “If anyone is willing to come after me, let him deny himself, and take up his cross, and follow me.
Matthew 16:25	For whoever would save his life, will lose it. But whoever will have lost his life for my sake, shall find it.
Matthew 16:26	For how does it benefit a man, if he gains the whole world, yet truly suffers damage to his soul? Or what shall a man give in exchange for his soul?
Matthew 16:27	For the Son of man will arrive in the glory of his Father, with his Angels. And then he will repay each one according to his works.
Matthew 16:28	Amen I say to you, there are some among those standing here, who shall not taste death, until they see the Son of man arriving in his reign.”
Matthew 17:1	And after six days, Jesus took Peter and James and his brother John, and he led them onto a lofty mountain separately.
Matthew 17:2	And he was transfigured before them. And his face shined brightly like the sun. And his garments were made white like snow.
Matthew 17:3	And behold, there appeared to them Moses and Elijah, speaking with him.
Matthew 17:4	And Peter responded by saying to Jesus: “Lord, it is good for us to be here. If you are willing, let us make three tabernacles here, one for you, one for Moses, and one for Elijah.”
Matthew 17:5	And while he was still speaking, behold, a shining cloud overshadowed them. And behold, there was a voice from the cloud, saying: “This is my beloved Son, with whom I am well pleased. Listen to him.”
Matthew 17:6	And the disciples, hearing this, fell prone on their face, and they were very afraid.
Matthew 17:7	And Jesus drew near and touched them. And he said to them, “Rise up and do not be afraid.”
Matthew 17:8	And lifting up their eyes, they saw no one, except Jesus alone.
Matthew 17:9	And as they were descending from the mountain, Jesus instructed them, saying, “Tell no one about the vision, until the Son of man has risen from the dead.”
Matthew 17:10	And his disciples questioned him, saying, “Why then do the scribes say that it is necessary for Elijah to arrive first?”
Matthew 17:11	But in response, he said to them: “Elijah, indeed, shall arrive and restore all things.
Matthew 17:12	But I say to you, that Elijah has already arrived, and they did not recognize him, but they did whatever they wanted to him. So also shall the Son of man suffer from them.”
Matthew 17:13	Then the disciples understood that he had spoken to them about John the Baptist.
Matthew 17:14	And when he had arrived at the multitude, a man approached him, falling to his knees before him, saying:
Matthew 17:15	“Lord, take pity on my son, for he is an epileptic, and he suffers harm. For he frequently falls into fire, and often also into water.
Matthew 17:16	And I brought him to your disciples, but they were not able to cure him.”
Matthew 17:17	Then Jesus responded by saying: “What an unbelieving and perverse generation! How long shall I be with you? How long shall I endure you? Bring him here to me.”
Matthew 17:18	And Jesus rebuked him, and the demon went out of him, and the boy was cured from that hour.
Matthew 17:19	Then the disciples approached Jesus privately and said, “Why were we unable to cast him out?”
Matthew 17:20	Jesus said to them: “Because of your unbelief. Amen I say to you, certainly, if you will have faith like a grain of mustard seed, you will say to this mountain, ‘Move from here to there,’ and it shall move. And nothing will be impossible for you.
Matthew 17:21	But this kind is not cast out, except through prayer and fasting.”
Matthew 17:22	And when they were conversing together in Galilee, Jesus said to them: “The Son of man shall be delivered into the hands of men.
Matthew 17:23	And they will kill him, but he will rise again on the third day.” And they were extremely saddened.
Matthew 17:24	And when they had arrived at Capernaum, those who collected the half shekel approached Peter, and they said to him, “Doesn’t your Teacher pay the half shekel?”
Matthew 17:25	He said, “Yes.” And when he had entered into the house, Jesus went before him, saying: “How does it seem to you, Simon? The kings of the earth, from whom do they receive tribute or the census tax: from their own sons or from foreigners?”
Matthew 17:26	And he said, “From foreigners.” Jesus said to him: “Then the sons are free.
Matthew 17:27	But so that we may not become an obstacle to them: go to the sea, and cast in a hook, and take the first fish that is brought up, and when you have opened its mouth, you will find a shekel. Take it and give it to them, for me and for you.”
Matthew 18:1	In that hour, the disciples drew near to Jesus, saying, “Whom do you consider to be greater in the kingdom of heaven?”
Matthew 18:2	And Jesus, calling to himself a little child, placed him in their midst.
Matthew 18:3	And he said: “Amen I say to you, unless you change and become like little children, you shall not enter into the kingdom of heaven.
Matthew 18:4	Therefore, whoever will have humbled himself like this little child, such a one is greater in the kingdom of heaven.
Matthew 18:5	And whoever shall accept one such little child in my name, accepts me.
Matthew 18:6	But whoever will have led astray one of these little ones, who trust in me, it would be better for him to have a great millstone hung around his neck, and to be submerged in the depths of the sea.
Matthew 18:7	Woe to a world that leads people astray! Although it is necessary for temptations to arise, nevertheless: Woe to that man through whom temptation arises!
Matthew 18:8	So if your hand or your foot leads you to sin, cut it off and cast it away from you. It is better for you to enter into life disabled or lame, than to be sent into eternal fire having two hands or two feet.
Matthew 18:9	And if your eye leads you to sin, root it out and cast it away from you. It is better for you to enter into life with one eye, than to be sent into the fires of Hell having two eyes.
Matthew 18:10	See to it that you do not despise even one of these little ones. For I say to you, that their Angels in heaven continually look upon the face of my Father, who is in heaven.
Matthew 18:11	For the Son of man has come to save what had been lost.
Matthew 18:12	How does it seem to you? If someone has one hundred sheep, and if one of them has gone astray, should he not leave behind the ninety-nine in the mountains, and go out to seek what has gone astray?
Matthew 18:13	And if he should happen to find it: Amen I say to you, that he has more joy over that one, than over the ninety-nine which did not go astray.
Matthew 18:14	Even so, it is not the will before your Father, who is in heaven, that one of these little ones should be lost.
Matthew 18:15	But if your brother has sinned against you, go and correct him, between you and him alone. If he listens to you, you will have regained your brother.
Matthew 18:16	But if he will not listen you, invite with you one or two more, so that every word may stand by the mouth of two or three witnesses.
Matthew 18:17	And if he will not listen to them, tell the Church. But if he will not listen to the Church, let him be to you like the pagan and the tax collector.
Matthew 18:18	Amen I say to you, whatever you will have bound on earth, shall be bound also in heaven, and whatever you will have released on earth, shall be released also in heaven.
Matthew 18:19	Again I say to you, that if two of those among you have agreed on earth, about anything whatsoever that they have requested, it shall be done for them by my Father, who is in heaven.
Matthew 18:20	For wherever two or three are gathered in my name, there am I, in their midst.”
Matthew 18:21	Then Peter, drawing near to him, said: “Lord, how many times shall my brother sin against me, and I forgive him? Even seven times?”
Matthew 18:22	Jesus said to him: “I do not say to you, even seven times, but even seventy times seven times.
Matthew 18:23	Therefore, the kingdom of heaven is compared to a man who was king, who wanted to take account of his servants.
Matthew 18:24	And when he had begun taking account, one was brought to him who owed him ten thousand talents.
Matthew 18:25	But since he did not have any way to repay it, his lord ordered him to be sold, with his wife and children, and all that he had, in order to repay it.
Matthew 18:26	But that servant, falling prostrate, begged him, saying, ‘Have patience with me, and I will repay it all to you.’
Matthew 18:27	Then the lord of that servant, being moved with pity, released him, and he forgave his debt.
Matthew 18:28	But when that servant departed, he found one of his fellow servants who owed him one hundred denarius. And taking hold of him, he choked him, saying: ‘Repay what you owe.’
Matthew 18:29	And his fellow servant, falling prostrate, petitioned him, saying: ‘Have patience with me, and I will repay it all to you.’
Matthew 18:30	But he was not willing. Instead, he went out and had him sent to prison, until he would repay the debt.
Matthew 18:31	Now his fellow servants, seeing what was done, were greatly saddened, and they went and reported to their lord all that was done.
Matthew 18:32	Then his lord called him, and he said to him: ‘You wicked servant, I forgave you all your debt, because you pleaded with me.
Matthew 18:33	Therefore, should you not also have had compassion on your fellow servant, just as I also had compassion on you?’
Matthew 18:34	And his lord, being angry, handed him over to the torturers, until he repaid the entire debt.
Matthew 18:35	So, too, shall my heavenly Father do to you, if each one of you will not forgive his brother from your hearts.”
Matthew 19:1	And it happened that, when Jesus had completed these words, he moved away from Galilee, and he arrived within the borders of Judea, across the Jordan.
Matthew 19:2	And great crowds followed him, and he healed them there.
Matthew 19:3	And the Pharisees approached him, testing him, and saying, “Is it lawful for a man to separate from his wife, no matter what the cause?”
Matthew 19:4	And he said to them in response, “Have you not read that he who made man from the beginning, made them male and female?” And he said:
Matthew 19:5	“For this reason, a man shall separate from father and mother, and he shall cling to his wife, and these two shall become one flesh.
Matthew 19:6	And so, now they are not two, but one flesh. Therefore, what God has joined together, let no man separate.”
Matthew 19:7	They said to him, “Then why did Moses command him to give a bill of divorce, and to separate?”
Matthew 19:8	He said to them: “Although Moses permitted you to separate from your wives, due to the hardness of your heart, it was not that way from the beginning.
Matthew 19:9	And I say to you, that whoever will have separated from his wife, except because of fornication, and who will have married another, commits adultery, and whoever will have married her who has been separated, commits adultery.”
Matthew 19:10	His disciples said to him, “If such is the case for a man with a wife, then it is not expedient to marry.”
Matthew 19:11	And he said to them: “Not everyone is able to grasp this word, but only those to whom it has been given.
Matthew 19:12	For there are chaste persons who were born so from their mother’s womb, and there are chaste persons who have been made so by men, and there are chaste persons who have made themselves chaste for the sake of the kingdom of heaven. Whoever is able to grasp this, let him grasp it.”
Matthew 19:13	Then they brought to him little children, so that he would place his hands upon them and pray. But the disciples rebuked them.
Matthew 19:14	Yet truly, Jesus said to them: “Allow the little children to come to me, and do not choose to prohibit them. For the kingdom of heaven is among such as these.”
Matthew 19:15	And when he had imposed his hands upon them, he went away from there.
Matthew 19:16	And behold, someone approached and said to him, “Good Teacher, what good should I do, so that I may have eternal life?”
Matthew 19:17	And he said to him: “Why do you question me about what is good? One is good: God. But if you wish to enter into life, observe the commandments.”
Matthew 19:18	He said to him, “Which?” And Jesus said: “You shall not murder. You shall not commit adultery. You shall not steal. You shall not give false testimony.
Matthew 19:19	Honor your father and your mother. And, you shall love your neighbor as yourself.”
Matthew 19:20	The young man said to him: “All these I have kept from my childhood. What is still lacking for me?”
Matthew 19:21	Jesus said to him: “If you are willing to be perfect, go, sell what you have, and give to the poor, and then you will have treasure in heaven. And come, follow me.”
Matthew 19:22	And when the young man had heard this word, he went away sad, for he had many possessions.
Matthew 19:23	Then Jesus said to his disciples: “Amen, I say to you, that the wealthy shall enter with difficulty into the kingdom of heaven.
Matthew 19:24	And again I say to you, it is easier for a camel to pass through the eye of a needle, than for the wealthy to enter into the kingdom of heaven.”
Matthew 19:25	And upon hearing this, the disciples wondered greatly, saying: “Then who will be able to be saved?”
Matthew 19:26	But Jesus, gazing at them, said to them: “With men, this is impossible. But with God, all things are possible.”
Matthew 19:27	Then Peter responded by saying to him: “Behold, we have left behind all things, and we have followed you. So then, what will be for us?”
Matthew 19:28	And Jesus said to them: “Amen I say to you, that at the resurrection, when the Son of man shall sit on the seat of his majesty, those of you who have followed me shall also sit on twelve seats, judging the twelve tribes of Israel.
Matthew 19:29	And anyone who has left behind home, or brothers, or sisters, or father, or mother, or wife, or children, or land, for the sake of my name, shall receive one hundred times more, and shall possess eternal life.
Matthew 19:30	But many of those who are first shall be last, and the last shall be first.”
Matthew 20:1	“The kingdom of heaven is like the father of a family who went out in early morning to lead workers into his vineyard.
Matthew 20:2	Then, having made an agreement with the workers for one denarius per day, he sent them into his vineyard.
Matthew 20:3	And going out about the third hour, he saw others standing idle in the marketplace.
Matthew 20:4	And he said to them, ‘You may go into my vineyard, too, and what I will give you will be just.’
Matthew 20:5	So they went forth. But again, he went out about the sixth, and about the ninth hour, and he acted similarly.
Matthew 20:6	Yet truly, about the eleventh hour, he went out and found others standing, and he said to them, ‘Why have you stood here idle all day?’
Matthew 20:7	They say to him, ‘Because no one has hired us.’ He said to them, ‘You also may go into my vineyard.’
Matthew 20:8	And when evening had arrived, the lord of the vineyard said to his manager, ‘Call the workers and pay them their wages, beginning from the last, even to the first.’
Matthew 20:9	And so, when those who had arrived about the eleventh hour came forward, each received a single denarius.
Matthew 20:10	Then when the first ones also came forward, they considered that they would receive more. But they, too, received one denarius.
Matthew 20:11	And upon receiving it, they murmured against the father of the family,
Matthew 20:12	saying, ‘These last have worked for one hour, and you have made them equal to us, who worked bearing the weight and heat of the day.’
Matthew 20:13	But responding to one of them, he said: ‘Friend, I caused you no injury. Did you not agree with me to one denarius?
Matthew 20:14	Take what is yours and go. But it is my will to give to this last, just as to you.
Matthew 20:15	And is it not lawful for me to do what I will? Or is your eye wicked because I am good?’
Matthew 20:16	So then, the last shall be first, and the first shall be last. For many are called, but few are chosen.”
Matthew 20:17	And Jesus, ascending to Jerusalem, took the twelve disciples aside in private and said to them:
Matthew 20:18	“Behold, we are ascending to Jerusalem, and the Son of man shall be handed over to the leaders of the priests and to the scribes. And they shall condemn him to death.
Matthew 20:19	And they shall hand him over to the Gentiles to be mocked and scourged and crucified. And on the third day, he shall rise again.”
Matthew 20:20	Then the mother of the sons of Zebedee approached him, with her sons, adoring him, and petitioning something from him.
Matthew 20:21	And he said to her, “What do you want?” She said to him, “Declare that these, my two sons, may sit, one at your right hand, and the other at your left, in your kingdom.”
Matthew 20:22	But Jesus, responding, said: “You do not know what you are asking. Are you able to drink from the chalice, from which I will drink?” They said to him, “We are able.”
Matthew 20:23	He said to them: “From my chalice, indeed, you shall drink. But to sit at my right or my left is not mine to give to you, but it is for those for whom it has been prepared by my Father.”
Matthew 20:24	And the ten, upon hearing this, became indignant with the two brothers.
Matthew 20:25	But Jesus called them to himself and said: “You know that the first ones among the Gentiles are their rulers, and that those who are greater exercise power among them.
Matthew 20:26	It shall not be this way among you. But whoever will want to be greater among you, let him be your minister.
Matthew 20:27	And whoever will want to be first among you, he shall be your servant,
Matthew 20:28	even as the Son of man has not come to be served, but to serve, and to give his life as a redemption for many.”
Matthew 20:29	And as they were departing from Jericho, a great crowd followed him.
Matthew 20:30	And behold, two blind men, sitting by the way, heard that Jesus was passing by; and they cried out, saying, “Lord, Son of David, take pity on us.”
Matthew 20:31	But the crowd rebuked them to be quiet. But they cried out all the more, saying, “Lord, Son of David, take pity on us.”
Matthew 20:32	And Jesus stood still, and he called them and said, “What do you want, that I might do for you?”
Matthew 20:33	They said to him, “Lord, that our eyes be opened.”
Matthew 20:34	Then Jesus, taking pity on them, touched their eyes. And immediately they saw, and they followed him.
Matthew 21:1	And when they had drawn near to Jerusalem, and had arrived at Bethphage, at the Mount of Olives, then Jesus sent two disciples,
Matthew 21:2	saying to them: “Go into the town that is opposite you, and immediately you will find a donkey tied, and a colt with her. Release them, and lead them to me.
Matthew 21:3	And if anyone will have said anything to you, say that the Lord has need of them. And he will promptly dismiss them.”
Matthew 21:4	Now all this was done in order to fulfill what was spoken through the prophet, saying,
Matthew 21:5	“Tell the daughter of Zion: Behold, your king comes to you meekly, sitting on a donkey and on a colt, the son of one accustomed to the yoke.”
Matthew 21:6	Then the disciples, going out, did just as Jesus instructed them.
Matthew 21:7	And they brought the donkey and the colt, and they laid their garments on them, and they helped him sit upon them.
Matthew 21:8	Then a very numerous crowd spread their garments on the way. But others cut branches from the trees and scattered them on the way.
Matthew 21:9	And the crowds that preceded him, and those that followed, cried out, saying: “Hosanna to the Son of David! Blessed is he who comes in the name of the Lord. Hosanna in the highest!”
Matthew 21:10	And when he had entered into Jerusalem, the entire city was stirred up, saying, “Who is this?”
Matthew 21:11	But the people were saying, “This is Jesus, the Prophet from Nazareth of Galilee.”
